URL,Project Name,Category,Sub-Category,Status,Project Cost,Project Start Date,Project Completion Date,State,City,Construction Area (sqm),Land Area (sqm),Residential Units,Commercial Units,Company
https://infiniteworks.in/private-construction-leads/detail/10030401013086589558?uid=6815559123727730&tid=20766212,ezzy elite,residential,group housing,under construction,601021570,2025-08-01 00:00:00,2028-07-31 00:00:00,karnataka,bengaluru,5922.0,1784.0,17,0,Ezzy Dickenson
https://infiniteworks.in/private-construction-leads/detail/10048876992326754529?uid=6815559123727730&tid=20766212,sumadhura solace phase-I,residential,apartment,under construction,7321138200,2025-11-01 00:00:00,2029-12-31 00:00:00,karnataka,bengaluru,111397.0,23311.0,526,0,Sumadhura Infracon Private Limited
https://infiniteworks.in/private-construction-leads/detail/10094408146549060639?uid=6815559123727730&tid=20766212,samhita finesse,residential,group housing,under construction,272395040,2025-04-03 00:00:00,2028-12-31 00:00:00,karnataka,bengaluru urban,3538.0,2023.0,24,0,Samhita Estates Limited Liability Partnership
https://infiniteworks.in/private-construction-leads/detail/10125877627409743273?uid=6815559123727730&tid=20766212,world of gardens,residential,apartment,under construction,7048800300,2025-09-10 00:00:00,2030-09-30 00:00:00,karnataka,bengaluru,158651.0,47284.0,648,0,Rlp Trendsquares Projects Private Limited
https://infiniteworks.in/private-construction-leads/detail/10174838731761856438?uid=6815559123727730&tid=20766212,king's pegasus,residential,apartment,post construction,249294432,2025-01-03 00:00:00,2026-12-31 00:00:00,karnataka,bengaluru,1910.0,752.0,19,0,King's Developers & Infrastructure
https://infiniteworks.in/private-construction-leads/detail/10183239381078194724?uid=6815559123727730&tid=20766212,kapstone crest,residential,apartment,under construction,142650128,2025-03-04 00:00:00,2028-09-14 00:00:00,karnataka,belagavi,3349.0,1212.0,35,5,K P Infra Ventures
https://infiniteworks.in/private-construction-leads/detail/1019776226411230151?uid=6815559123727730&tid=20766212,assetz zen & sato,residential,,under construction,13422499800,2025-05-15 00:00:00,2030-05-31 00:00:00,karnataka,bengaluru urban,107864.0,27927.0,456,0,Apg Townships Private Limited
https://infiniteworks.in/private-construction-leads/detail/10244663773787578038?uid=6815559123727730&tid=20766212,axis ekatva,residential,apartment,under construction,747716740,2025-11-20 00:00:00,2029-06-30 00:00:00,karnataka,bengaluru,11420.0,4603.0,287,,Axis Life Spaces
https://infiniteworks.in/private-construction-leads/detail/10252496070856283318?uid=6815559123727730&tid=20766212,cinnamon citadel,plotting,,under construction,328928352,2025-05-02 00:00:00,2027-05-02 00:00:00,karnataka,bengaluru urban,,15960.0,48,0,Rroyal Indraprastha Cinnamon Citadel Limited Liability Partnership
https://infiniteworks.in/private-construction-leads/detail/10370358183737440806?uid=6815559123727730&tid=20766212,winds of change by ckpc,residential,,under construction,3500000000,2025-07-01 00:00:00,2029-03-30 00:00:00,karnataka,bengaluru urban,80140.0,30958.0,438,0,Ckpc Residences Private Limited
https://infiniteworks.in/private-construction-leads/detail/10439559658127173503?uid=6815559123727730&tid=20766212,shafcon city,commercial,mixed-use development,under construction,289297504,2025-07-01 00:00:00,2030-12-31 00:00:00,karnataka,dakshina kannada,8873.0,2413.0,36,18,Spectrum India Properties
